floor_type,lx_ft,ly_ft,story_ht_ft,live_psf,method,h_in,sw_psf,vol_per_area_in,M0_kipft,qu_psf,punch_ratio,punch_ok,vu_max_psi,has_studs,n_stud_cols,stud_rails_max,stud_per_rail_max,defl_ratio,defl_ok,defl_in,defl_limit_in,col_min_in,col_max_in,col_rho_max,As_cs_in2,As_ms_in2,As_total_in2,integrity_ok,n_transfer_bars,runtime_s,h_drop_in,a_drop1_ft,a_drop2_ft,min_h_rule,LD_ratio,ddm_eligible
flat_plate,16.0,20.0,12.007874015748031,125.0,MDDM,5.0,61.9077275713434,5.0,128.75249447083198,298.2892730856121,0.9354221361196606,true,174.32206790775905,true,12,8,3,0.3224726860047058,true,0.17209828386952805,0.5336832895888015,29.999999999999993,35.999999999999986,0.019506172839506175,13.0,17.99,30.989999999999995,false,0,1.613,0.0,0.0,0.0,nomin,1.1363636363636365,true
flat_plate,16.0,20.0,12.007874015748031,125.0,DDM (Full),5.0,61.9077275713434,5.0,128.75249447083198,298.2892730856121,0.9354221361196606,true,174.32206790775905,true,12,8,3,0.3224726860047058,true,0.17209828386952805,0.5336832895888015,29.999999999999993,35.999999999999986,0.019506172839506175,13.600000000000001,3.4,17.000000000000004,true,0,0.913,0.0,0.0,0.0,nomin,1.1363636363636365,true
flat_plate,16.0,20.0,12.007874015748031,125.0,EFM (HC),5.0,61.9077275713434,5.0,129.9806435316485,298.2892730856121,0.9156767868591783,true,174.32206790775905,true,14,8,3,0.3224726860047058,true,0.17209828386952805,0.5336832895888015,18.0,35.999999999999986,0.019506172839506175,22.2,4.199999999999999,26.399999999999995,true,0,0.811,0.0,0.0,0.0,nomin,1.1363636363636365,true
flat_plate,16.0,20.0,12.007874015748031,125.0,EFM (ASAP),5.0,61.9077275713434,5.0,129.9806435316485,298.2892730856121,0.9156767868591783,true,174.32206790775905,true,14,8,3,0.3224726860047058,true,0.17209828386952805,0.5336832895888015,18.0,35.999999999999986,0.019506172839506175,22.2,4.3999999999999995,26.599999999999998,true,0,0.743,0.0,0.0,0.0,nomin,1.1363636363636365,true
flat_plate,16.0,20.0,12.007874015748031,125.0,FEA,6.5,80.48004584274643,6.5,141.9059644663949,320.57605501129564,0.9344106430138028,true,147.55173166168998,false,0,0,0,0.5415095671525438,true,0.2889946071417776,0.5336832895888015,22.0,35.999999999999986,0.019506172839506175,9.2,3.5999999999999996,12.8,true,4,24.182,0.0,0.0,0.0,nomin,1.1363636363636365,true
flat_plate,16.0,20.0,12.007874015748031,200.0,MDDM,5.0,61.9077275713434,5.0,177.1289300069096,418.2892730856121,0.7535361761379618,true,244.45079876201007,true,16,8,3,0.5159562976075293,true,0.2753572541912449,0.5336832895888015,35.999999999999986,35.999999999999986,0.019506172839506175,18.2,3.5999999999999996,21.799999999999997,false,0,1.623,0.0,0.0,0.0,nomin,1.8181818181818181,true
flat_plate,16.0,20.0,12.007874015748031,200.0,DDM (Full),5.0,61.9077275713434,5.0,177.1289300069096,418.2892730856121,0.7535361761379618,true,244.45079876201007,true,16,8,3,0.515956297607529,true,0.2753572541912448,0.5336832895888015,35.999999999999986,35.999999999999986,0.019506172839506175,19.799999999999997,4.3999999999999995,24.2,true,0,0.832,0.0,0.0,0.0,nomin,1.8181818181818181,true
flat_plate,16.0,20.0,12.007874015748031,200.0,FEA,7.5,92.86159135701512,7.5,196.58183254358104,455.43390962841806,0.9989563871432628,true,172.21623489628215,true,5,8,3,0.5966396585017534,true,0.3184166156483549,0.5336832895888015,29.999999999999993,35.999999999999986,0.019506172839506175,11.399999999999999,3.9999999999999996,15.399999999999999,false,2,27.371,0.0,0.0,0.0,nomin,1.8181818181818181,true
flat_plate,16.0,24.0,12.007874015748031,40.0,MDDM,5.0,61.9077275713434,5.0,93.9331550723135,162.28927308561208,0.991532393609269,true,155.78189185217067,false,0,0,0,0.1031912595215059,true,0.055071450838249006,0.5336832895888015,22.0,29.999999999999993,0.019506172839506175,26.950000000000003,39.5,66.44999999999999,true,0,0.495,0.0,0.0,0.0,nomin,0.31250000000000006,true
flat_plate,16.0,24.0,12.007874015748031,40.0,DDM (Full),5.0,61.9077275713434,5.0,93.9331550723135,162.28927308561208,0.991532393609269,true,155.78189185217067,false,0,0,0,0.1031912595215059,true,0.055071450838249006,0.5336832895888015,22.0,29.999999999999993,0.019506172839506175,9.6,39.5,49.1,true,0,0.523,0.0,0.0,0.0,nomin,0.31250000000000006,true
